title,content,publishedAt
DOJ subpoenas NVIDIA as part of antitrust probe regarding AI processors,If you click Accept all we and our partners including who are part of the IAB Transparency Consent Framework will also store andor access information on a device in other words use chars,2024-09-04
The Leaked Nvidia RTX Has So Many Cores It Actually Scares Me,The GeForce RTX is already so big that any PC builder worth their salt knows that youll need specialized brackets just to keep it from falling and dismantling your computer The anticipated RTX chars,2024-09-27
ByteDance will reportedly use Huawei chips to train a new AI model,If you click Accept all we and our partners including who are part of the IAB Transparency Consent Framework will also store andor access information on a device in other words use chars,2024-09-30
This chart shows one potential advantage AWSs AI chips have over Microsoft and Google,Noah BergerGetty Images Big tech cloud providers are developing homegrown AI chips to rival NvidiaAmazon Google and Microsoft have AI chips but AWSs offerings have wider avail chars,2024-09-26
Nvidias days of absolute dominance in AI could be numbered because of this key performance benchmark,Rodrigo Liang CEO and cofounder of SambaNova SystemsSambaNova Systems Nvidia faces competition in AI inference from startups like SambaNova Groq and CerebrasInference the prod chars,2024-09-26
The cult of Nvidia is getting really weird,Everyone could probably stand to chill about NvidiaGetty Images Jenny ChangRodriguezBI I probably do not have to tell you that Nvidia has really blown up over the past few years The tech compan chars,2024-09-09
Xavier Niel a Driving Force of French AI Is Now Shaping TikTok,If Europe wants to compete with Asia and the US on AI he believes the continent has to act now If you want to create a search engine now from scratch you cannot win because you were not there y chars,2024-09-20
Nvidias Jensen Huang just crashed out of the billion club after his net worth plunged by almost billion,Nvidia CEO Jensen Huang is no longer a member of a very exclusive clubSam YehAFPGetty Images Nvidias Jensen Huang fell out of the billion club on TuesdayThe chipmakers st chars,2024-09-04
Were about to find out if Jensen Huang can get investors to snap out of their AI panic,Nvidia CEO Jensen Huang is set to speak at a Goldman Sachs conference at a time when investors are growing uncertain over AI hypeNoah BergerGetty Images Jenny ChangRodriguezBI Chelsea Jia Feng chars,2024-09-11
Larry Ellison says he and Elon Musk begged Jensen Huang for GPUs over dinner,Larry Ellison and Elon MuskGetty Images Larry Ellison said he and Elon Musk begged Nvidias Jensen Huang for more GPUs at a dinnerEllison made the comment during Oracles earnings chars,2024-09-16
Jensen Huang thinks were all going to have our own RD or CPO robots follow us around,Jensen Huang sees the next wave of AI as being physical JOSH EDELSONGetty Images Nvidia CEO Jensen Huang predicts a future with personal robots like RD and CPO from Star Warsli chars,2024-09-19
The AI boom turned Nvidia into a trilliondollar giant Its next big bet is even more complex,ktsimageGettyJustin SullivanGetty Tyler LeBI Nvidias gaming past and mastering of the GPU made it wellpositioned for the AI boomIts next market to corner is advanced robotic chars,2024-10-01
After Jensen Huangs Nvidia wipeout no one has gained more wealth than Mark Zuckerberg in becoming billion richer,Meta CEO Mark Zuckerberg left and Nvidia CEO Jensen Huang rightSTRJIJI PressAFP via Getty Images Josh EdelsonAFP via Getty Images Mark Zuckerbergs fortune has ballooned by bill chars,2024-09-05
Nvidia just recorded the biggest singleday wipeout by a US company,Nvidias stock fell due to concerns about AI and the US economyMichael M SantiagoGetty Jenny ChangRodriguezBI Nvidias stock fell due to concerns about AI and the US economy chars,2024-09-04
Investors should worry that almost half of Nvidias revenue in the second quarter came from just customers according to a tech analyst,Nvidia CEO Jensen Huangs company has four customers that account for nearly have of its revenueIHWA CHENGAFP via Getty Images Almost half of Nvidias billion revenue in the second qu chars,2024-09-05
Sonys new OLED gaming monitor is one of the fastest you can buy,Sonys new OLED gaming monitor is one of the fastest you can buy Sonys new OLED gaming monitor is one of the fastest you can buy The new flagship inch InZone MS features variable refresh rat chars,2024-09-24
EXCLUSIVE Sen Elizabeth Warren backs DOJ investigation into Nvidia antitrust allegations,US Sen Elizabeth Warren is warning that Nvidia led by CEO Jensen Huang has too much dominance in the chipmaking marketREUTERSAndrew Kelly SAM YEHAFP via Getty Images Sen Elizabeth Wa chars,2024-09-06
What Nvidia leadership should be doing to prepare for a possible DOJ case,Jensen Huang is the CEO of Nvidia Noah BergerGetty Images Jenny ChangRodriguezBI Chelsea Jia FengBI The Department of Justice is looking into Nvidia as part of an antitrust probe l chars,2024-09-05
Why countries are in a race to build AI factories in the name of sovereign AI,Join our daily and weekly newsletters for the latest updates and exclusive content on industryleading AI coverage Learn More Now that AI has become a fundamentally important technology and the wo chars,2024-09-26
AI chipmaker giant NVIDIA stock takes a historic billion plunge,NVIDIA shares have tanked almost in the biggest singleday market value loss in US history spurring a massive sell off in largecap tech stocks The company is widely known for making graphic chars,2024-09-04
Nvidia chips are in such high demand that customers are emotional Huang said,Nvidia CEO Jensen Huang says product shortages are making customers emotionalSam YehAFP via Getty Images Nvidia CEO Jensen Huang says product shortages are making customers emotional chars,2024-09-12
Nvidia CEO Jensen Huang tells David Solomon companies get things done times faster with generative AI,An analyst says Nvidia is leading the AI revolution in what appears to be a momentVincent ThianAP Nvidia CEO Jensen Huang discussed AI infrastructure ROI with Goldman Sachs CEO Davi chars,2024-09-11
Nvidia is in vogue just ask the designer behind these viral GPU purses,Tessa Barton started creating GPU purses last yearTessa Barton Nvidias stock has surged due to the AI boom making it a multitrilliondollar companyThe company and its CEO Jens chars,2024-09-17
As FTC Chair Lina Khans Term Expires Democrats Are Torn Between Donors and Their Base,For months speculation has raged in Washington over the future of Lina Khan the Federal Trade Commission chair and face of the Biden administrations crusade against monopoly power Overturning deca chars,2024-09-27
Top Analyst Reports for NVIDIA American Express Wells Fargo,If you click Accept all we and our partners including who are part of the IAB Transparency Consent Framework will also store andor access information on a device in other words use chars,2024-09-27
Jim Cramer on NVIDIA Corporation NASDAQNVDA A Trillion Stock,If you click Accept all we and our partners including who are part of the IAB Transparency Consent Framework will also store andor access information on a device in other words use chars,2024-09-29
Not everyone is impressed by Elon Musks shiny new AI supercomputer,Elon Musk unveiled a new supercomputer that runs on Nvidia GPUs Not everyones impressedRichard BordGetty Elon Musks xAI has a new AI supercomputer that runs on a whopping chars,2024-09-09
NVIDIA Wipes Out B in Value Buy Hold or Sell NVDA Stock,NVIDIA Corporation NVDA witnessed a meteoric rise over the past few years due to the advent of artificial intelligence AI Its recent share repurchase has installed confidence among investors and t chars,2024-09-09
BofAs Hartnett says US semiconductor stocks to plunge if payrolls are soft,Bloomberg Semiconductor shares including Nvidia Corp are in for a rough ride if US jobs data Friday point to a hard landing for the words biggest economy according to strategists at Bank of Am chars,2024-09-06
Acer Sells Women Short With Its Budget Nitro V Gaming Laptop,Did you know that of gamers are women But theyre not just any gamers theyre casual gamers As such Acer thinks they deserve a laptop just for themor so they informed us during their IFA pres chars,2024-09-05
